,Product Name,Rating,Product Sold,Price,Discount,Store name,Num of favourite
0,polo hill flidas ladies handbag phh2650 (black/brown/beige) | shopee malaysia,5.0,2900,139.95,64,polohill.os,2900
1,swiss polo ladies top handle sling bag hgj 3044 multi color | shopee malaysia,5.0,113,129.0,35,swisspoloofficial.os,443
2,louiswill women fashion backpacks waterproof oxford shoulder bags korean style | shopee malaysia,4.9,3000,36.24,51,louiswill.os,6500
3,polo hill ladies furrow shoulder bag phd1-0b-225 | shopee malaysia,4.9,1800,119.9,67,polohill.os,1500
4,n262 ready stock myfooyin woman sling beg shoulder tote beg perempuan handbag | shopee malaysia,4.8,641,12.8,57,fooyin88,1900
5,all-match small bag women's 2022 fashion new portable shoulder bag korean version trend striped plaid messenger bag | shopee malaysia,4.8,211,21.99,78,yisea.my,1400
6,dr cardin ladies crossbody sling bag bg 5087 [free name customisation] | shopee malaysia,4.9,1200,63.0,63,tomorrowshowtime.os,3500
7,2021new shoulder bag casual sling bag messenger bucket handbag women small bag female bag beg wanita | shopee malaysia,4.8,68,19.9,48,guangku.my,486
8,south korean version of 2021 new wide shoulder drawstring canvas bag contracted ins solid color large capacity single shoulder cross-body bag bag woman | shopee malaysia,4.5,270,15.5,50,canvaspanda.my,3100
9,large bag women's new large capacity tote bag high-quality western style sling bag women canvas shoulder bag high-quality texture handbags women | shopee malaysia,4.6,138,19.98,50,zjxwhx3603.my,630
10,n268 ready stock myfooyin sling bag shoulder bags women ladies pu leather handbags crossbody tote messenger beg | shopee malaysia,4.5,506,11.5,62,fooyin88,1100
11,wbsb167_ariy sling bag women handbag bag women beg tangan wanita shoulder bag women sling beg women bag crossbody bag | shopee malaysia,4.7,101,14.0,72,stynis,331
12,brand pattern printing women sling bag european style fashion canvas small square bag casual lady shoulder bags | shopee malaysia,4.8,607,35.8,53,hulin838.my,2100
13,ready stocksling bag waterproof shoulder bag women crossbody bag | shopee malaysia,4.8,2200,25.9,71,aishan.my,3000
14,waterproof oxford crossbody bag for women 2021 small nylon handbags ladies design casual light shoulder bag | shopee malaysia,4.9,323,22.5,75,yisea.my,619
15,n114 ready stock myfooyin woman handbag shoulder 2 in1 handbag sling bag | shopee malaysia,4.8,869,9.8,51,fooyin88,676
16,handbag woman sling bag women korean style shoulder bag silang ladies   crossbody bag  beg tangan wanita murah perempuan waterproof nylon | shopee malaysia,4.9,391,33.47,31,koreanshow.my,416
17,women dumpling design pu bag korean style chain shoulder bag armpit bag | shopee malaysia,4.9,932,8.33,46,beautyone.my,827
18,ready stock micole sb2611 korean women sling bag crossbody bag shoulder bag women bags casual bag beg | shopee malaysia,4.8,4800,5.5,7,micoleconcept,2900
19,n227 ready stock myfooyin woman sling bag canvas shoulder leather tote bag | shopee malaysia,4.9,898,13.8,54,fooyin88,1400
20,ready stock women sling bag hand phone bag new fashion leather zipper multifunctional shoulder bag ladies chain mobile phone bag mini sling mobile phone beg female coin pocket wanita crossbody bag | shopee malaysia,4.8,128,33.8,74,bcbags.my,497
21,single shoulder slant span bag new trend chain korean style | shopee malaysia,4.8,570,29.0,51,mayshop123.my,2800
22,n195 ready stock myfooyin woman sling bag shoulder leather bag perempuan handbag tote bag | shopee malaysia,4.9,3000,11.0,63,fooyin88,2700
23,david jones paris handbag women bag beg tangan wanita perempuan sling bag silang beg shoulder bag crossbody bag pouch murah cantik korean style new design 2021 | shopee malaysia,4.9,2000,58.9,23,davidjones.os,2700
24,sling bag women korean style handbag women leather beg tangan wanita murah tote bag shoulder bag woman top casual handbag murah baguette bag small bag    ladis handbeg beg perempuan crossbody bag beg silang perempuan armpit pierre loues bag | shopee malaysia,4.9,1900,23.35,34,koreanshow.my,1700
25,pu leather sling bag women korean style crossbody bag   shoulder bag handbag woman beg tangan wanita murah  beg silang perempuan | shopee malaysia,4.9,712,26.38,38,koreanshow.my,970
26,sling bag women large capacity tote bag new shoulder bag versatile crossbody bag women student leather handbags | shopee malaysia,4.8,56,24.19,50,zjxwhx3603.my,393
27,n12 ready stock myfooyin top handle handbag terkini mini crossbody women bag retro beg tangan wanita terbaru | shopee malaysia,4.9,576,12.0,60,fooyin88,779
28,swiss polo ladies chain sling bag hfg 225 multi colour | shopee malaysia,4.9,225,59.9,54,swisspoloofficial.os,794
29,sembonia small crossgrain satchel bag - 0602328-124a-03 | shopee malaysia,5.0,143,119.7,70,sembonia.os,201
31,swiss polo ladies top handle sling bag  hgv 3325 multi color | shopee malaysia,5.0,33,129.94,35,swisspoloofficial.os,171
32,swiss polo ladies top handle sling bag hfl 2332 multi colour | shopee malaysia,4.9,117,89.97,70,swisspoloofficial.os,296
